0.63,0.0023667,0.011846,-1.371,0.018949,-0.0014498,31.523,-0.3741,5.111,-3.1168,10.912,-0.63749,81.487,0,0,3.0543,0,-0.15497,0
0.64,-0.025085,0.055319,-1.3996,0.10938,-0.010129,32.34,-0.37829,5.1066,-3.1164,10.917,-0.63775,81.519,0,0,2.937,0,-0.15389,0
0.65,-0.073822,0.067261,-1.4302,0.1304,-0.012611,33.162,-0.39033,5.1053,-3.1155,10.92,-0.63796,81.546,0,0,2.9564,0,-0.15592,0
0.66,-0.11275,0.040084,-1.4646,0.068395,-0.0069524,33.982,-0.39841,5.1113,-3.1143,10.923,-0.63813,81.567,0,0,2.9844,0,-0.15726,0
0.67,-0.11713,-0.0090212,-1.4966,-0.036901,0.0032319,34.798,-0.39919,5.1087,-3.1126,10.917,-0.63778,81.524,0,0,2.999,0,-0.15828,0
0.68,-0.084274,-0.048665,-1.525,-0.11885,0.011494,35.616,-0.40493,5.0989,-3.1103,10.911,-0.63742,81.478,0,0,3.0185,0,-0.16029,0
0.69,-0.034998,-0.053799,-1.5563,-0.12533,0.01266,36.438,-0.4173,5.0944,-3.1068,10.905,-0.63705,81.43,0,0,3.0336,0,-0.16867,0
0.7,-0.00071354,-0.021204,-1.5907,-0.052303,0.0056394,37.255,-0.4238,5.0953,-3.1032,10.897,-0.63658,81.37,0,0,3.0525,0,-0.17027,0
0.71,-0.003017,0.028453,-1.6218,0.053611,-0.0050247,38.069,-0.42447,5.0896,-3.0999,10.888,-0.63607,81.304,0,0,2.9088,0,-0.16907,0
0.72,-0.040369,0.063604,-1.6501,0.12575,-0.012686,38.886,-0.43176,5.0785,-3.1005,10.879,-0.63556,81.24,0,0,2.9201,0,-0.17015,0
0.73,-0.089168,0.062227,-1.6822,0.11842,-0.012481,39.705,-0.44404,5.0744,-3.1002,10.871,-0.63506,81.175,0,0,2.9414,0,-0.17194,0
0.74,-0.1185,0.0252,-1.7164,0.036476,-0.0042361,40.519,-0.44906,5.0747,-3.0998,10.862,-0.63454,81.11,0,0,2.955,0,-0.17355,0
0.75,-0.11006,-0.024096,-1.7467,-0.068227,0.0067281,41.33,-0.45,5.0674,-3.0991,10.853,-0.63402,81.043,0,0,2.974,0,-0.17511,0
0.76,-0.0692,-0.054554,-1.7753,-0.1302,0.013674,42.145,-0.45868,5.0564,-3.0974,10.844,-0.6335,80.976,0,0,2.9854,0,-0.17642,0
